Gene,Brain Region,Direction of expression relative to low-pathology samples,Average log2 FC,p-value,Bonferroni-corrected p-value,BH FDR,Percent of high-pathology subject nuclei with detected expression,Percent of low-pathology subject nuclei with detected expression
SRGN,V2,Up,0.463476747,4.44E-75,1.62E-70,4.52E-71,75.6,66.6
FOXF1,V2,Up,0.462851976,3.47E-15,1.27E-10,3.85E-13,26.8,15.7
PLIN2,V2,Up,0.458372942,5.16E-09,0.000188951,2.08E-07,29.7,22.8
BACE2,V2,Up,0.456006495,1.34E-05,0.490246465,0.000200895,54.4,54.7
EEF1A1,V2,Up,0.454970787,1.10E-30,4.04E-26,5.49E-28,72.2,65.7
NDRG1,V2,Up,0.449326377,9.55E-09,0.000349479,3.60E-07,44.6,40.9
CLK1,V2,Up,0.446260148,0.000538028,1,0.004234221,43.7,35.4
SDCBP,V2,Up,0.437565314,0.003424067,1,0.018483254,64,54.2
MTRNR2L12,V2,Up,0.435614794,1.44E-13,5.29E-09,1.32E-11,39.8,29.7
SQSTM1,V2,Up,0.434036625,1.15E-09,4.21E-05,5.46E-08,44.3,34.8
MIB1,V2,Up,0.426025702,0.000659097,1,0.004948206,35.7,29.1
HES1,V2,Up,0.425978796,5.61E-16,2.05E-11,7.01E-14,35.6,28.8
MT2A,V2,Up,0.425379708,3.55E-65,1.30E-60,1.03E-61,89,84.4
AL589935.1,V2,Up,0.424176594,0.002197799,1,0.012919198,29.9,22.6
SOD2,V2,Up,0.422885455,3.88E-06,0.141928365,7.06E-05,44.1,37.4
GPBP1,V2,Up,0.417376009,2.78E-05,1,0.000371396,49.1,43.1
OSBPL1A,V2,Up,0.408765328,1.65E-10,6.03E-06,9.28E-09,31.5,28.4
MSN,V2,Up,0.404773627,0.024593816,1,0.085794243,47.6,43.0
HNRNPA2B1,V2,Up,0.403297887,5.56E-22,2.04E-17,1.29E-19,73.6,67.7
RGS5,V2,Up,0.403089903,2.73E-09,9.98E-05,1.17E-07,54.9,54.1
SERTAD1,V2,Up,0.402656097,2.62E-05,0.958786044,0.000352207,32.5,22.9
CALM1,V2,Up,0.400872549,4.35E-12,1.59E-07,3.13E-10,75.6,69.5
ITGA5,V2,Up,0.396276506,0.02243226,1,0.080084105,25.5,19.6
MT1E,V2,Up,0.395440243,1.90E-31,6.96E-27,9.94E-29,55.7,51.9
NAA16,V2,Up,0.390568653,7.01E-06,0.256755522,0.000116782,29.6,23.5
CCNH,V2,Up,0.389124332,9.89E-09,0.000362152,3.71E-07,53.7,48.3
NEDD4L,V2,Up,0.389038689,2.77E-10,1.01E-05,1.51E-08,31.9,24.2
IFI16,V2,Up,0.385015196,0.001450576,1,0.00928032,56.2,50.8
SLC9A3R2,V2,Up,0.383599714,3.32E-05,1,0.00043063,56.4,49.2
