Gene,Brain Region,Direction of expression relative to low-pathology samples,Average log2 FC,p-value,Bonferroni-corrected p-value,BH FDR,Percent of high-pathology subject nuclei with detected expression,Percent of low-pathology subject nuclei with detected expression
SLF2,V2,Down,-0.127528889,3.74E-06,0.136975655,6.85E-05,18.2,21.9
SETD3,V2,Down,-0.128078387,0.002976847,1,0.016597302,17.5,22.2
UBP1,V2,Down,-0.128185158,8.67E-06,0.317296275,0.000139135,12.7,17.1
PRXL2A,V2,Down,-0.128410327,1.39E-05,0.509480954,0.000206498,24.2,29.6
RAI14,V2,Down,-0.128470644,3.95E-05,1,0.000500028,22.2,27.0
TMX3,V2,Down,-0.128924934,0.011293688,1,0.046998621,14.1,18.6
CHURC1,V2,Down,-0.128930165,0.000522554,1,0.004129452,16.3,21.5
CCDC14,V2,Down,-0.129024193,0.008166488,1,0.036415997,10.3,14.1
TMOD3,V2,Down,-0.129165383,0.002642469,1,0.015091466,48.2,52.8
EPB41L2,V2,Down,-0.129174533,9.20E-06,0.336589426,0.000146214,27.8,33.9
SLC25A13,V2,Down,-0.129283623,0.009597435,1,0.041302051,18.7,22.6
PCCA,V2,Down,-0.129474945,0.000197504,1,0.001860318,53.9,57.6
NUDCD3,V2,Down,-0.129788084,1.19E-07,0.004362854,3.46E-06,17.2,22.5
RNF220,V2,Down,-0.129880662,0.000254405,1,0.002297918,29.8,33.7
MTMR2,V2,Down,-0.129919694,0.005417009,1,0.02654204,15,19.3
LMO2,V2,Down,-0.129986956,0.002043573,1,0.012186702,35.6,43.7
POU2F1,V2,Down,-0.129993899,0.000272016,1,0.002430732,28.3,32.5
ARFGEF1,V2,Down,-0.130032237,2.23E-05,0.816843499,0.000307571,34.8,41.1
ASAP2,V2,Down,-0.130924314,5.97E-05,1,0.00069697,18.1,22.2
COG7,V2,Down,-0.131398132,0.015782422,1,0.061088701,11.6,15.7
GRAPL,V2,Down,-0.131463542,1.73E-05,0.634337795,0.000247209,16.2,20.5
ASXL2,V2,Down,-0.131491309,0.007196168,1,0.033013405,22.4,27.7
BTBD10,V2,Down,-0.131604398,7.61E-05,1,0.000850524,17.4,23.2
HMG20A,V2,Down,-0.131863694,0.003773813,1,0.019960732,10.7,15.0
TMEM117,V2,Down,-0.131874797,0.009598128,1,0.041302051,12,15.4
THUMPD2,V2,Down,-0.131999497,0.008770358,1,0.038543135,10.1,14.3
SENP7,V2,Down,-0.132316052,0.000489059,1,0.003910744,31.3,36.9
RPTOR,V2,Down,-0.132496587,8.09E-05,1,0.000892909,18.2,23.7
ADARB1,V2,Down,-0.132527181,2.95E-10,1.08E-05,1.60E-08,17.2,21.1
MIR3936HG,V2,Down,-0.132566688,5.87E-12,2.15E-07,4.15E-10,17.3,21.4
WBP1L,V2,Down,-0.132569806,0.000410791,1,0.00337491,13.5,18.2
PLEC,V2,Down,-0.132904563,1.21E-17,4.44E-13,1.86E-15,22.3,26.8
CDK5RAP2,V2,Down,-0.132905886,0.016698248,1,0.063725965,19.5,24.1
APC,V2,Down,-0.133213267,0.003973634,1,0.020826584,27.4,33.1
NR3C2,V2,Down,-0.133423032,3.23E-07,0.011824313,8.46E-06,58.6,60.8
SH3BGRL,V2,Down,-0.133428616,7.22E-06,0.264082393,0.000119627,18,23.0
RABGAP1,V2,Down,-0.133642139,2.00E-09,7.32E-05,8.84E-08,33.6,39.4
DCAF8,V2,Down,-0.133736876,2.11E-06,0.077324205,4.21E-05,14.5,20.1
PRSS23,V2,Down,-0.133742231,0.013776995,1,0.054972417,24.8,29.8
ATP2B4,V2,Down,-0.133876765,0.000694273,1,0.005144082,19.8,24.8
PTBP3,V2,Down,-0.134108769,0.002098536,1,0.012452535,27.3,32.0
CRTC3,V2,Down,-0.134236715,1.20E-08,0.000439116,4.38E-07,21.5,27.1
ANXA7,V2,Down,-0.134339209,5.16E-06,0.188999054,9.08E-05,14.1,18.9
TMEM260,V2,Down,-0.134341011,0.000446292,1,0.003632899,13.6,19.1
SYNE1,V2,Down,-0.13438131,3.18E-28,1.16E-23,1.22E-25,79.4,79.9
DDX42,V2,Down,-0.134386398,7.32E-07,0.026793107,1.69E-05,14.7,19.4
GALNT11,V2,Down,-0.134567496,9.11E-05,1,0.000986499,11,14.7
HSPG2,V2,Down,-0.134869852,6.50E-12,2.38E-07,4.55E-10,12.8,17.5
OCIAD1,V2,Down,-0.135124169,0.001005406,1,0.006945213,23,28.2
FAM185A,V2,Down,-0.135423427,0.005349533,1,0.026289418,10.2,14.9
C6orf62,V2,Down,-0.135538421,0.007736047,1,0.034916704,23.5,27.8
GBF1,V2,Down,-0.135903913,0.000196049,1,0.001848323,23.1,27.3
RBFOX2,V2,Down,-0.135932818,3.39E-05,1,0.000437029,65.4,68.5
PHF21A,V2,Down,-0.136103829,0.001509669,1,0.009568278,37.1,42.1
CRADD,V2,Down,-0.136231342,0.000735335,1,0.005401198,28.4,31.7
CHN1,V2,Down,-0.136425604,0.000110909,1,0.001158127,25.3,31.2
COMMD1,V2,Down,-0.136467847,1.18E-06,0.043197805,2.54E-05,27.1,33.1
MAP4K3,V2,Down,-0.136472874,1.72E-08,0.00062948,6.03E-07,51.1,56.4
BTBD7,V2,Down,-0.136529195,0.004489079,1,0.022938303,26.4,31.2
LINC00342,V2,Down,-0.136840853,0.001127289,1,0.007633734,11,15.1
PLXND1,V2,Down,-0.137066756,5.81E-07,0.02126972,1.38E-05,20.3,24.6
SH3BP4,V2,Down,-0.137151555,1.38E-09,5.05E-05,6.42E-08,37,42.0
HERC1,V2,Down,-0.137353817,1.00E-06,0.036615027,2.22E-05,40.6,46.8
ADGRL2,V2,Down,-0.137358017,0.000123288,1,0.001258439,57.6,59.7
VPS13B,V2,Down,-0.137515523,0.000777516,1,0.005658018,48.2,52.5
ADK,V2,Down,-0.137889931,5.82E-05,1,0.000683427,30.4,35.0
MDN1,V2,Down,-0.138072167,0.000604041,1,0.004635607,14.1,18.5
FIP1L1,V2,Down,-0.138298904,0.027976776,1,0.094678836,17.8,22.4
GPR107,V2,Down,-0.138568064,4.85E-09,0.000177417,1.96E-07,11.1,15.9
LYPLAL1,V2,Down,-0.138809103,6.73E-07,0.024647121,1.57E-05,15.9,21.3
NUP107,V2,Down,-0.138941127,0.000356479,1,0.003017491,10.1,13.7
NFKB1,V2,Down,-0.138995485,0.025332687,1,0.087741065,22.2,27.0
DDX10,V2,Down,-0.139085251,8.67E-10,3.17E-05,4.22E-08,19.1,24.7
FRS2,V2,Down,-0.139203396,0.023995801,1,0.084277084,18.3,23.3
RAB11FIP2,V2,Down,-0.139224756,0.000120802,1,0.001241081,12.3,16.3
CCAR1,V2,Down,-0.139294224,0.015126671,1,0.059009941,22.7,28.4
SEPTIN2,V2,Down,-0.139312137,0.000819811,1,0.005908841,31.6,37.4
RAB30-DT,V2,Down,-0.1394147,0.004364185,1,0.022423793,13.4,18.7
EIF2AK4,V2,Down,-0.139517904,0.001971562,1,0.011809444,14.5,18.9
IRAK4,V2,Down,-0.139536682,1.59E-05,0.581740797,0.000229929,10.3,14.8
ALS2,V2,Down,-0.139645383,1.58E-05,0.579711631,0.00022929,13,17.1
ATG7,V2,Down,-0.139906206,5.41E-06,0.197878685,9.45E-05,28.1,33.0
PSMD1,V2,Down,-0.140218882,0.000165565,1,0.001604743,25.8,31.6
GNA12,V2,Down,-0.140302119,0.005319989,1,0.026192592,12.2,16.5
SSH2,V2,Down,-0.140821635,3.76E-05,1,0.000478191,31.9,36.5
APBB2,V2,Down,-0.141016986,1.04E-15,3.81E-11,1.24E-13,54.3,59.0
RAB28,V2,Down,-0.141131535,0.00167389,1,0.010320299,15.9,20.9
RPLP0,V2,Down,-0.141153436,3.16E-05,1,0.000415232,29.4,33.9
PRKDC,V2,Down,-0.141301724,2.55E-05,0.933508305,0.000344512,25.3,30.9
TMBIM4,V2,Down,-0.141541091,5.25E-08,0.001921423,1.67E-06,33.6,39.7
TPD52L1,V2,Down,-0.141911107,5.20E-06,0.190295371,9.14E-05,20.3,24.3
CDH2,V2,Down,-0.142089983,0.016577633,1,0.063431929,40.6,44.3
DIAPH2,V2,Down,-0.142128876,0.02493498,1,0.086751239,11.4,15.0
PARP14,V2,Down,-0.142147627,3.49E-09,0.000127597,1.47E-07,43.9,50.0
PHACTR4,V2,Down,-0.142174453,2.31E-08,0.000845447,7.94E-07,29.6,35.3
FAM160B1,V2,Down,-0.142628425,1.55E-05,0.566837283,0.000225045,12.9,17.4
SLC25A36,V2,Down,-0.142672074,0.000358194,1,0.003023213,15.9,20.4
HECTD4,V2,Down,-0.142672831,1.16E-05,0.425511564,0.000178573,23.4,29.4
TTC14,V2,Down,-0.142838981,0.017461232,1,0.065995232,22.8,29.6
SLC23A2,V2,Down,-0.143344559,3.15E-05,1,0.00041407,11,15.3
NFX1,V2,Down,-0.14356221,0.000174511,1,0.001674693,13.6,18.7
FBXL5,V2,Down,-0.14361486,6.31E-09,0.000231099,2.49E-07,24.9,30.6
TNFSF10,V2,Down,-0.143731667,0.0001945,1,0.001837048,14.6,20.2
PPIP5K2,V2,Down,-0.143853483,5.11E-07,0.01871832,1.25E-05,17.3,23.3
SPAST,V2,Down,-0.143941614,0.00692513,1,0.032079476,11.4,16.1
UTRN,V2,Down,-0.144086455,0.009022106,1,0.039370069,72.5,74.7
THOC1,V2,Down,-0.144186066,0.004573173,1,0.023274653,13,17.3
PRPF18,V2,Down,-0.144223647,0.002107706,1,0.012492404,11.4,15.5
LDLRAD4,V2,Down,-0.144389703,8.21E-05,1,0.000903647,28,33.2
ATAD2B,V2,Down,-0.14450933,0.000805764,1,0.005834417,32.8,38.8
KATNBL1,V2,Down,-0.144709271,2.42E-06,0.088732567,4.73E-05,25.7,31.9
RBMS1,V2,Down,-0.144934918,2.40E-07,0.008793662,6.45E-06,50,55.1
BMS1P14,V2,Down,-0.144952942,0.003099278,1,0.017106031,12.4,17.1
TNFAIP1,V2,Down,-0.144999591,1.17E-06,0.042745106,2.52E-05,22.8,27.5
SLC35F5,V2,Down,-0.145177766,2.53E-08,0.000924714,8.58E-07,20.4,26.5
CLCN3,V2,Down,-0.145347788,0.000602467,1,0.00462701,15.2,20.4
SNX29,V2,Down,-0.14556986,7.09E-09,0.000259366,2.75E-07,22.6,28.7
USO1,V2,Down,-0.145603717,0.005260396,1,0.026005981,18.4,24.4
DHX29,V2,Down,-0.145703415,0.026103238,1,0.089663348,15,20.0
MGLL,V2,Down,-0.146324772,0.004424623,1,0.022671468,42.8,49.2
MAPK14,V2,Down,-0.146456466,4.67E-07,0.01708323,1.15E-05,20.4,25.3
ELK3,V2,Down,-0.146829599,0.020768781,1,0.075603063,21.4,26.9
UBN1,V2,Down,-0.147052919,3.33E-05,1,0.00043063,18.9,23.8
MOB3B,V2,Down,-0.147091208,2.83E-07,0.010345928,7.53E-06,26.2,30.6
FRMD3,V2,Down,-0.147257942,1.81E-15,6.63E-11,2.09E-13,16.9,20.2
CEP57,V2,Down,-0.147409105,0.000168994,1,0.001633237,15.6,19.9
LYST,V2,Down,-0.14778333,2.04E-06,0.074822821,4.09E-05,35.3,40.9
SH2D3C,V2,Down,-0.147886794,0.0198975,1,0.073207715,26.4,32.2
MSH3,V2,Down,-0.147922905,0.00094038,1,0.006580078,18,22.7
AC118549.1,V2,Down,-0.148200966,4.83E-05,1,0.00058731,29.1,35.2
CMC1,V2,Down,-0.148388741,0.003071055,1,0.016991671,11.7,17.1
SMG6,V2,Down,-0.148518532,0.024152384,1,0.084619413,25.6,31.6
XIST,V2,Down,-0.14874551,3.34E-13,1.22E-08,2.78E-11,33.5,32.0
SIPA1L2,V2,Down,-0.14877096,6.97E-08,0.002551819,2.16E-06,32.6,36.9
CLIP1,V2,Down,-0.148986302,1.26E-09,4.61E-05,5.92E-08,26.8,32.9
ECE1,V2,Down,-0.149059487,0.000584929,1,0.004524424,31.3,38.2
HADHB,V2,Down,-0.149410157,0.000247806,1,0.0022489,18.1,22.7
S100PBP,V2,Down,-0.149680683,1.99E-06,0.07290442,4.01E-05,13,18.8
USP25,V2,Down,-0.149832642,5.56E-06,0.203556791,9.66E-05,23.5,30.0
APOE,V2,Down,-0.149916915,1.32E-12,4.84E-08,1.01E-10,17.6,22.2
AGAP1,V2,Down,-0.150560924,0.007236619,1,0.033139521,46.2,50.9
SGMS1,V2,Down,-0.150767787,1.74E-07,0.006359713,4.85E-06,57.4,61.1
KLHL20,V2,Down,-0.150801483,3.24E-05,1,0.000424133,23.9,29.1
ZFYVE16,V2,Down,-0.150896473,0.008302399,1,0.036892914,29.4,35.6
CASP10,V2,Down,-0.150955188,3.76E-10,1.38E-05,2.00E-08,21.6,27.6
SPATA5,V2,Down,-0.150982004,0.007536601,1,0.034213932,16.9,21.7
TRAPPC12,V2,Down,-0.151085449,0.005440617,1,0.026612342,12.1,17.6
TCF7L2,V2,Down,-0.151354824,2.27E-10,8.30E-06,1.26E-08,43.5,48.5
NAIP,V2,Down,-0.151361341,9.05E-06,0.33113462,0.000144181,14.3,19.0
IREB2,V2,Down,-0.151442794,3.33E-08,0.00122056,1.10E-06,14.8,20.4
LRBA,V2,Down,-0.151831932,0.000921644,1,0.00650255,40.6,46.6
SMIM14,V2,Down,-0.151963137,1.68E-06,0.061362888,3.45E-05,18.2,24.9
PRTG,V2,Down,-0.152062766,7.06E-11,2.58E-06,4.24E-09,19.1,24.6
NEK9,V2,Down,-0.152282273,0.014605121,1,0.057514719,10.6,14.9
ABHD18,V2,Down,-0.152356677,0.001467933,1,0.009361976,13.4,18.3
EPN2,V2,Down,-0.152471684,0.002669472,1,0.015224356,39.9,45.6
KIAA1841,V2,Down,-0.152500326,2.58E-05,0.945291676,0.000348343,11.4,15.7
NSRP1,V2,Down,-0.15252675,0.001292955,1,0.008468604,27,34.2
MIRLET7BHG,V2,Down,-0.152601835,4.77E-07,0.017455419,1.17E-05,21.7,27.2
GPM6B,V2,Down,-0.152821093,0.001617923,1,0.01008197,18.4,23.9
FAM135A,V2,Down,-0.152989703,0.000942341,1,0.006590321,21,27.0
BMPR2,V2,Down,-0.153286035,2.53E-26,9.26E-22,9.38E-24,70.9,74.7
PIK3C2A,V2,Down,-0.153382796,2.41E-11,8.83E-07,1.56E-09,50.7,57.4
BTBD3,V2,Down,-0.153449656,3.12E-13,1.14E-08,2.65E-11,17.9,23.1
PTPRZ1,V2,Down,-0.153957173,2.05E-06,0.074935835,4.09E-05,10.5,16.0
CHD8,V2,Down,-0.153993386,6.90E-05,1,0.000785097,15.4,20.5
SNED1,V2,Down,-0.154071036,7.75E-08,0.002837939,2.37E-06,39.6,44.7
LIMA1,V2,Down,-0.154150242,0.001587848,1,0.009927945,19.7,25.2
ABLIM3,V2,Down,-0.154350734,0.006649807,1,0.031038016,18.8,23.6
WRN,V2,Down,-0.154475493,3.51E-07,0.012830328,9.04E-06,18.7,23.5
SLC35A3,V2,Down,-0.154577591,3.92E-07,0.014363411,9.91E-06,16.5,21.6
CDC16,V2,Down,-0.154627178,0.002708442,1,0.015390626,13.4,19.4
FRA10AC1,V2,Down,-0.154662254,0.000788409,1,0.005727066,14.9,20.3
ATG4C,V2,Down,-0.154754137,0.000593173,1,0.004576323,10.4,15.4
CTNNA1,V2,Down,-0.154754419,0.000302635,1,0.002633908,51.4,56.8
NEK7,V2,Down,-0.154878954,4.46E-05,1,0.000551444,36,42.4
SAMD4B,V2,Down,-0.154928953,5.23E-05,1,0.000627031,12.8,17.3
CBR4,V2,Down,-0.155151487,0.00011485,1,0.001190129,14.7,19.1
TMEM14B,V2,Down,-0.15518956,0.000170047,1,0.001640356,19.4,24.7
SERINC5,V2,Down,-0.155640347,0.002123741,1,0.012567147,42.3,47.7
RBL2,V2,Down,-0.155859311,0.000314457,1,0.002714774,17,22.8
STXBP6,V2,Down,-0.155873736,0.000496365,1,0.003959847,37,40.1
RSRC1,V2,Down,-0.155901139,0.025484416,1,0.08811146,23.8,29.3
RUNX1T1,V2,Down,-0.156074954,6.98E-05,1,0.00079306,29,34.6
WDFY3,V2,Down,-0.156080208,3.79E-06,0.138657182,6.92E-05,48.2,53.7
KANK1,V2,Down,-0.156136797,1.83E-05,0.668944367,0.000258166,33,39.9
PTGDS,V2,Down,-0.156352301,1.70E-13,6.22E-09,1.54E-11,48.3,56.0
THADA,V2,Down,-0.157004185,0.000807416,1,0.00584251,24,30.7
MTM1,V2,Down,-0.157477738,0.000357616,1,0.003022088,17.9,22.9
PPP2R2B,V2,Down,-0.157613598,1.05E-06,0.038575847,2.31E-05,17.5,25.6
SVIL,V2,Down,-0.15761587,0.000156955,1,0.00153808,47.5,52.6
EFR3B,V2,Down,-0.157691927,1.35E-05,0.493786483,0.000202049,31.7,36.1
NSD1,V2,Down,-0.157924225,1.28E-07,0.004680254,3.67E-06,28.8,34.8
STAT1,V2,Down,-0.158155239,1.75E-05,0.638941276,0.000248481,16.2,21.6
VPS45,V2,Down,-0.158264887,0.020171685,1,0.073936246,12.2,16.9
PSD3,V2,Down,-0.158469447,0.01056087,1,0.04455585,19,24.0
SAMD9L,V2,Down,-0.158606052,0.018756417,1,0.069755614,10.5,14.8
NTRK2,V2,Down,-0.158649621,1.18E-07,0.004302876,3.43E-06,17.2,23.6
ADD3,V2,Down,-0.159527218,4.21E-07,0.015391637,1.05E-05,16.4,21.8
LRIG1,V2,Down,-0.159577663,0.000846679,1,0.00606973,11.5,16.9
ADCY4,V2,Down,-0.159629088,0.000958871,1,0.006678402,20.1,26.2
NTM,V2,Down,-0.159795367,0.00901174,1,0.039350105,23.9,31.1
ATP10D,V2,Down,-0.159867874,0.017135696,1,0.065032119,16.9,20.8
PITPNM2,V2,Down,-0.160188174,0.000297598,1,0.002600058,25.5,31.6
REV3L,V2,Down,-0.160610979,0.001231274,1,0.008158992,39.1,45.0
THSD1,V2,Down,-0.16067389,8.94E-05,1,0.000972208,10.4,15.3
RARS2,V2,Down,-0.160675064,0.004532006,1,0.023111303,15.6,21.2
VEZT,V2,Down,-0.161071633,0.001166733,1,0.007830595,34.6,41.5
LINC00623,V2,Down,-0.161086532,0.000207248,1,0.001942219,14.1,19.4
CDKAL1,V2,Down,-0.161118653,9.37E-06,0.343053912,0.000148674,46.3,51.5
TYW1,V2,Down,-0.161165697,0.002349208,1,0.013712458,14.7,19.7
ANKRD28,V2,Down,-0.16129305,0.019955065,1,0.073367404,28.4,33.6
TAF15,V2,Down,-0.161597007,0.001650627,1,0.010206273,33.3,41.4
C6orf89,V2,Down,-0.161612473,6.42E-05,1,0.000738887,12.9,17.7
DMTF1,V2,Down,-0.161861346,0.000211522,1,0.001977733,29.9,35.8
BICRAL,V2,Down,-0.162064329,0.003421761,1,0.018475699,16.5,22.2
GCNT1,V2,Down,-0.162106764,1.21E-07,0.00443871,3.51E-06,24.5,30.3
APPL2,V2,Down,-0.162271931,0.000505934,1,0.004017318,15.8,21.9
TTC7A,V2,Down,-0.162305726,1.75E-14,6.41E-10,1.80E-12,16.5,22.2
CDC14A,V2,Down,-0.162513135,0.000134636,1,0.001353201,31.7,36.3
ADD1,V2,Down,-0.162623216,3.65E-17,1.34E-12,5.24E-15,54.5,61.9
EOGT,V2,Down,-0.162796965,0.002171729,1,0.012802522,19.7,25.0
EPS15,V2,Down,-0.16294544,0.023883589,1,0.083963296,38.9,45.9
MTF2,V2,Down,-0.162968159,0.00328155,1,0.017889232,18.3,23.7
ATG2B,V2,Down,-0.163344467,7.01E-05,1,0.000796753,15.2,20.3
MYOF,V2,Down,-0.163368436,9.72E-27,3.56E-22,3.67E-24,36,42.8
FBXW7,V2,Down,-0.163525533,0.008794595,1,0.038608709,33.1,38.6
SLC10A7,V2,Down,-0.163804999,0.005433558,1,0.026597171,15.4,21.1
FGD6,V2,Down,-0.163870185,1.08E-08,0.000395263,3.99E-07,26.8,32.6
ERCC6L2,V2,Down,-0.16401214,3.86E-05,1,0.000490109,17.7,22.4
GLCE,V2,Down,-0.164277014,5.90E-06,0.216028994,0.000101259,14.5,19.3
NCOA2,V2,Down,-0.164412578,0.000620937,1,0.004715559,37.5,43.4
UPF3A,V2,Down,-0.164657975,0.00023684,1,0.002167716,19.1,25.2
GPD2,V2,Down,-0.164978574,0.00294737,1,0.016472783,15,20.9
HDAC8,V2,Down,-0.165016094,0.006974851,1,0.032266999,28.3,34.3
C5orf56,V2,Down,-0.165139118,5.58E-08,0.002043656,1.76E-06,16.3,22.3
MDM2,V2,Down,-0.16532235,0.003480178,1,0.018701941,16.3,21.4
FRY,V2,Down,-0.165647647,0.029298893,1,0.098094504,36.8,43.0
MMS19,V2,Down,-0.165799501,0.000276317,1,0.002459464,10.5,15.0
WDR43,V2,Down,-0.166312319,0.004372208,1,0.022453693,10.9,16.2
SMC6,V2,Down,-0.166838542,1.13E-08,0.00041269,4.16E-07,14.1,19.0
ZNF608,V2,Down,-0.166868375,0.005268138,1,0.026031628,11.1,15.1
AUH,V2,Down,-0.16722313,0.003283478,1,0.017894954,21.2,27.8
EPB41L4A,V2,Down,-0.167584751,1.73E-13,6.32E-09,1.56E-11,48.3,54.1
MECOM,V2,Down,-0.1677181,9.63E-12,3.52E-07,6.58E-10,79.9,80.1
BCAR3,V2,Down,-0.167752683,1.21E-08,0.000441784,4.40E-07,25.5,31.0
PCDH9,V2,Down,-0.16811561,2.06E-07,0.0075468,5.65E-06,44.1,53.5
DLEU1,V2,Down,-0.168178502,8.69E-06,0.318005568,0.000139336,12.3,17.1
WLS,V2,Down,-0.168419184,0.001472514,1,0.009385321,19.7,25.5
ASPH,V2,Down,-0.168746206,0.002143646,1,0.012657572,26.5,33.2
SCAF8,V2,Down,-0.16879358,0.016746602,1,0.063862672,25.9,32.1
AGO4,V2,Down,-0.168872899,1.40E-06,0.051173609,2.94E-05,16.8,22.7
R3HCC1L,V2,Down,-0.168949554,1.09E-05,0.39759492,0.00016838,13.8,18.9
ANKRD36,V2,Down,-0.168988068,0.020750355,1,0.075554572,21.6,27.5
RYR3,V2,Down,-0.169115577,0.000693122,1,0.005139293,15.9,22.0
RCAN1,V2,Down,-0.169117529,0.000138802,1,0.001389584,11.3,16.0
HTT,V2,Down,-0.169200813,6.00E-05,1,0.000700051,16.2,22.0
EHBP1,V2,Down,-0.169392948,0.003186306,1,0.017472822,25.5,31.3
MMD,V2,Down,-0.169522706,3.19E-06,0.11692627,6.02E-05,12.9,18.1
CCM2L,V2,Down,-0.169732077,4.45E-05,1,0.000550075,13.9,19.0
RBM25,V2,Down,-0.169756759,8.99E-05,1,0.000976416,36.1,43.7
CLASP2,V2,Down,-0.169818918,3.38E-05,1,0.000435789,38.9,46.4
HIVEP3,V2,Down,-0.170103557,1.03E-08,0.000376654,3.82E-07,11.7,16.6
TRPC1,V2,Down,-0.17020437,1.10E-12,4.01E-08,8.50E-11,17.9,22.6
MAP3K4,V2,Down,-0.170823307,0.020253525,1,0.074135382,18,23.8
MICU2,V2,Down,-0.170849987,0.001324256,1,0.008638136,15.2,20.5
ICE2,V2,Down,-0.171158502,4.29E-05,1,0.000534048,11.7,17.1
SLC38A6,V2,Down,-0.171333068,0.000395714,1,0.003272149,13.1,18.2
ABL1,V2,Down,-0.171380151,0.006047839,1,0.02890294,24.8,30.0
FUT8,V2,Down,-0.171752104,4.49E-08,0.001642836,1.45E-06,31.4,37.1
RPAP2,V2,Down,-0.171773484,3.44E-06,0.125860006,6.39E-05,17.5,23.7
TTC23,V2,Down,-0.172119944,0.0001267,1,0.001286933,10.2,15.7
HIPK2,V2,Down,-0.172175671,0.003375472,1,0.018274167,24.5,30.1
DDX17,V2,Down,-0.172375819,0.001558269,1,0.009779989,76,82.4
EVL,V2,Down,-0.172452367,0.00139084,1,0.008977037,19.4,24.8
AL049828.1,V2,Down,-0.172740848,5.36E-07,0.01961924,1.30E-05,14.9,17.5
DIPK2B,V2,Down,-0.172777013,0.001564734,1,0.009810512,46.2,53.4
DENND6A,V2,Down,-0.172809099,0.000283672,1,0.002504156,14.4,20.0
XPO4,V2,Down,-0.172994102,0.007615992,1,0.034497061,13.4,18.9
PTPRG,V2,Down,-0.173358546,2.86E-08,0.001046273,9.62E-07,85.3,85.0
N4BP1,V2,Down,-0.173429647,1.62E-06,0.059236149,3.35E-05,20.2,26.4
PIK3C2B,V2,Down,-0.173505426,0.000602235,1,0.00462697,13.6,19.3
PPP4R1,V2,Down,-0.173814774,0.000301258,1,0.002626409,28.3,35.2
ARMH3,V2,Down,-0.175115116,7.09E-05,1,0.000802973,18.7,24.5
SND1,V2,Down,-0.175120933,0.006072661,1,0.028974498,27,33.3
SMAD7,V2,Down,-0.175235916,1.33E-09,4.86E-05,6.21E-08,25.7,31.6
LRRK2,V2,Down,-0.175351233,3.53E-05,1,0.000453672,17.5,22.7
FARP1,V2,Down,-0.175762859,1.90E-05,0.693641838,0.000266038,29.4,33.8
CCDC91,V2,Down,-0.176167256,3.26E-05,1,0.000425672,21,25.7
KAT6B,V2,Down,-0.176507672,2.30E-06,0.084176843,4.53E-05,18.5,24.1
DDX60,V2,Down,-0.176650944,0.011262361,1,0.046906558,11.4,17.8
WDR11,V2,Down,-0.176744764,2.92E-07,0.010676178,7.72E-06,15.8,22.3
EXOC1,V2,Down,-0.177120994,0.000151809,1,0.001497011,22.8,28.9
RSRP1,V2,Down,-0.17759254,0.000251235,1,0.002274954,39.8,49.2
IMMP1L,V2,Down,-0.177612426,0.023281853,1,0.082531132,12.4,16.9
TTC37,V2,Down,-0.177826195,9.98E-05,1,0.00106117,23.9,30.4
ODF2L,V2,Down,-0.177949265,7.88E-07,0.028830831,1.80E-05,26.9,33.8
WSB1,V2,Down,-0.177964549,1.17E-15,4.28E-11,1.38E-13,60.7,68.9
NDUFS4,V2,Down,-0.178237447,0.002315723,1,0.013532507,15.8,21.1
PPARD,V2,Down,-0.178300518,1.42E-05,0.518297217,0.000209158,38,42.7
IL10RB,V2,Down,-0.17847692,0.001115735,1,0.007557999,11.7,17.5
UQCC1,V2,Down,-0.178538694,3.90E-07,0.014281704,9.87E-06,14.1,19.1
INTS10,V2,Down,-0.178716836,0.005354751,1,0.026306553,13.1,19.1
BOC,V2,Down,-0.178907999,0.001615445,1,0.010072687,13.5,18.8
PGR-AS1,V2,Down,-0.179258873,0.02032222,1,0.074340958,11,15.3
AC080132.1,V2,Down,-0.17977968,0.00176843,1,0.010804689,14.9,19.2
LIMS2,V2,Down,-0.179809711,5.99E-35,2.19E-30,3.81E-32,33.4,40.4
FAXDC2,V2,Down,-0.180113109,0.001315215,1,0.008597828,18.3,24.3
NOL10,V2,Down,-0.180371395,0.012068657,1,0.049436381,16.3,21.7
LMCD1,V2,Down,-0.180726104,0.002955109,1,0.016506984,20.3,25.5
ANKRD26,V2,Down,-0.180854258,0.003126562,1,0.017223975,14.6,20.2
ANAPC5,V2,Down,-0.180963202,8.86E-07,0.032445196,2.00E-05,20.4,26.5
LONP2,V2,Down,-0.181080143,1.74E-06,0.063664901,3.56E-05,27.8,34.0
PPP1R21,V2,Down,-0.181147476,0.021390075,1,0.077303883,12.4,18.1
SPG11,V2,Down,-0.181850391,8.63E-06,0.315694484,0.000138651,22.5,29.1
ARFGEF2,V2,Down,-0.182066816,3.24E-13,1.19E-08,2.73E-11,45.5,51.3
ANAPC10,V2,Down,-0.182185459,1.53E-06,0.055918562,3.18E-05,13.6,18.1
CD99,V2,Down,-0.182452201,0.000100132,1,0.001064121,17,22.1
ADAM15,V2,Down,-0.18273907,8.23E-20,3.01E-15,1.57E-17,21.3,26.9
DENR,V2,Down,-0.183434381,1.70E-06,0.062131889,3.48E-05,11,16.2
ZNF277,V2,Down,-0.183559127,0.000682791,1,0.005086746,14.4,19.7
MAP3K20,V2,Down,-0.183685398,3.35E-05,1,0.000433084,36.2,42.6
AHCYL1,V2,Down,-0.183879469,7.23E-05,1,0.000816354,27,33.4
